id;name;performer;release_year;disc_count;format;lang;state;added
1;Dynamic Gorgeous Mississippi;optical Regional;deposit Plastic Hill;plum Uzbekistan Shirt;Austria circuit Handmade;Concrete Chicken Stravenue;UNDEFINED;2022-02-08T04:56:16
2;Internal Practical mindshare;alarm sexy;District Developer;6th;Florida online Cotton;circuit HDD;UNDEFINED;2022-02-08T09:12:06
3;Account;synthesizing Loan auxiliary;New National calculating;Crescent mesh Miquelon;navigate SCSI Iraqi;Fantastic Wooden Intelligent;LOST;2022-02-08T10:59:41
4;1080p;Borders Handmade;Exclusive orchestration Centralized;Tasty holistic e-tailers;Soap analyzer Human;Moldova firewall Cambridgeshire;EXPECTED;2022-02-07T23:39:12
5;red;Chicken redundant ubiquitous;Fresh AI disintermediate;collaborative;Steel magenta maroon;Louisiana embrace;UNDEFINED;2022-02-08T04:38:27
6;PNG Credit RSS;drive Mandatory;withdrawal base deliverables;feed;AI payment Generic;Avon Accounts grid-enabled;AWAY;2022-02-07T20:51:05
7;back Jewelery;Global Darussalam JBOD;application array Wisconsin;Home;intuitive;Sports Rustic;EXPECTED;2022-02-08T13:58:15
8;payment user-centric Berkshire;functionalities implement Grass-roots;Response Branding;Route salmon Lead;Account innovate;Tuvalu;LOST;2022-02-08T11:50:35
9;Indiana initiatives;Salad override auxiliary;deposit Michigan Intelligent;technologies back-end Intuitive;calculating client-driven;Fresh Dollar mobile;OK;2022-02-08T05:38:58
10;Cotton;virtual extend dot-com;Account interfaces;of navigating Agent;Steel;solution fault-tolerant;AWAY;2022-02-08T13:27:58
